time,open,high,low,close,volume
1780444800,805.0,805.0,805.0,805.0,0
1780531200,810.0,810.0,810.0,810.0,0
1780617600,723.0,723.0,723.0,723.0,0
1780876800,840.0,840.0,840.0,840.0,0
1780963200,705.0,705.0,705.0,705.0,0
1781049600,701.0,701.0,701.0,701.0,0
1781136000,737.0,737.0,737.0,737.0,0
1781222400,721.0,721.0,721.0,721.0,0
1781481600,759.0,759.0,759.0,759.0,0
1781568000,764.0,764.0,764.0,764.0,0
1781654400,748.0,748.0,748.0,748.0,0
1781740800,824.0,824.0,824.0,824.0,0
1781827200,840.0,840.0,840.0,840.0,0
1782086400,838.0,838.0,838.0,838.0,0
1782172800,720.0,720.0,720.0,720.0,0
1782259200,743.0,743.0,743.0,743.0,0
1782345600,750.0,750.0,750.0,750.0,0
1782432000,761.0,761.0,761.0,761.0,0
1782691200,751.0,751.0,751.0,751.0,0
1782777600,786.0,786.0,786.0,786.0,0
1782864000,794.0,794.0,794.0,794.0,0
1782950400,720.0,720.0,720.0,720.0,0
1783036800,743.0,743.0,743.0,743.0,0
1783296000,741.0,741.0,741.0,741.0,0
1783382400,748.0,748.0,748.0,748.0,0
1783468800,708.0,708.0,708.0,708.0,0
1783555200,741.0,741.0,741.0,741.0,0
1783641600,749.0,749.0,749.0,749.0,0
1783900800,795.0,795.0,795.0,795.0,0
1783987200,761.0,761.0,761.0,761.0,0
1784073600,717.0,717.0,717.0,717.0,0
1784160000,733.0,733.0,733.0,733.0,0
1784246400,780.0,780.0,780.0,780.0,0
1784505600,701.0,701.0,701.0,701.0,0
1784592000,751.0,751.0,751.0,751.0,0
1784678400,721.0,721.0,721.0,721.0,0
1784764800,697.0,697.0,697.0,697.0,0
1784851200,687.0,687.0,687.0,687.0,0
1785110400,680.0,680.0,680.0,680.0,0
1785196800,699.0,699.0,699.0,699.0,0
1785283200,706.0,706.0,706.0,706.0,0
1785369600,679.0,679.0,679.0,679.0,0
1785456000,769.0,769.0,769.0,769.0,0
1785715200,721.0,721.0,721.0,721.0,0
1785801600,715.0,715.0,715.0,715.0,0
1785888000,724.0,724.0,724.0,724.0,0
1785974400,745.0,745.0,745.0,745.0,0
1786060800,720.0,720.0,720.0,720.0,0
1786320000,736.0,736.0,736.0,736.0,0
1786406400,742.0,742.0,742.0,742.0,0
1786492800,815.0,815.0,815.0,815.0,0
1786579200,728.0,728.0,728.0,728.0,0
1786665600,732.0,732.0,732.0,732.0,0
1786924800,734.0,734.0,734.0,734.0,0
1787011200,719.0,719.0,719.0,719.0,0
1787097600,719.0,719.0,719.0,719.0,0
1787184000,714.0,714.0,714.0,714.0,0
1787270400,712.0,712.0,712.0,712.0,0
1787529600,705.0,705.0,705.0,705.0,0
1787616000,711.0,711.0,711.0,711.0,0
1787702400,712.0,712.0,712.0,712.0,0
1787788800,721.0,721.0,721.0,721.0,0
1787875200,733.0,733.0,733.0,733.0,0
1788134400,763.0,763.0,763.0,763.0,0
1788220800,732.0,732.0,732.0,732.0,0
1788307200,717.0,717.0,717.0,717.0,0
1788393600,751.0,751.0,751.0,751.0,0
1788480000,718.0,718.0,718.0,718.0,0
