time,open,high,low,close,volume
1780444800,745.0,745.0,745.0,745.0,0
1780531200,742.0,742.0,742.0,742.0,0
1780617600,725.0,725.0,725.0,725.0,0
1780876800,725.0,725.0,725.0,725.0,0
1780963200,716.0,716.0,716.0,716.0,0
1781049600,702.0,702.0,702.0,702.0,0
1781136000,710.0,710.0,710.0,710.0,0
1781222400,720.0,720.0,720.0,720.0,0
1781481600,745.0,745.0,745.0,745.0,0
1781568000,717.0,717.0,717.0,717.0,0
1781654400,734.0,734.0,734.0,734.0,0
1781740800,740.0,740.0,740.0,740.0,0
1781827200,740.0,740.0,740.0,740.0,0
1782086400,723.0,723.0,723.0,723.0,0
1782172800,720.0,720.0,720.0,720.0,0
1782259200,720.0,720.0,720.0,720.0,0
1782345600,720.0,720.0,720.0,720.0,0
1782432000,715.0,715.0,715.0,715.0,0
1782691200,720.0,720.0,720.0,720.0,0
1782777600,730.0,730.0,730.0,730.0,0
1782864000,731.0,731.0,731.0,731.0,0
1782950400,725.0,725.0,725.0,725.0,0
1783036800,729.0,729.0,729.0,729.0,0
1783296000,725.0,725.0,725.0,725.0,0
1783382400,710.0,710.0,710.0,710.0,0
1783468800,710.0,710.0,710.0,710.0,0
1783555200,722.0,722.0,722.0,722.0,0
1783641600,725.0,725.0,725.0,725.0,0
1783900800,722.0,722.0,722.0,722.0,0
1783987200,720.0,720.0,720.0,720.0,0
1784073600,720.0,720.0,720.0,720.0,0
1784160000,720.0,720.0,720.0,720.0,0
1784246400,620.0,620.0,620.0,620.0,0
1784505600,700.0,700.0,700.0,700.0,0
1784592000,705.0,705.0,705.0,705.0,0
1784678400,710.0,710.0,710.0,710.0,0
1784764800,699.0,699.0,699.0,699.0,0
1784851200,690.0,690.0,690.0,690.0,0
1785110400,685.0,685.0,685.0,685.0,0
1785196800,682.0,682.0,682.0,682.0,0
1785283200,685.0,685.0,685.0,685.0,0
1785369600,680.0,680.0,680.0,680.0,0
1785456000,690.0,690.0,690.0,690.0,0
1785715200,700.0,700.0,700.0,700.0,0
1785801600,719.0,719.0,719.0,719.0,0
1785888000,725.0,725.0,725.0,725.0,0
1785974400,721.0,721.0,721.0,721.0,0
1786060800,725.0,725.0,725.0,725.0,0
1786320000,725.0,725.0,725.0,725.0,0
1786406400,722.0,722.0,722.0,722.0,0
