time,open,high,low,close,volume
1780444800,767.0,767.0,767.0,767.0,0
1780531200,757.0,757.0,757.0,757.0,0
1780617600,749.0,749.0,749.0,749.0,0
1780876800,744.0,744.0,744.0,744.0,0
1780963200,738.0,738.0,738.0,738.0,0
1781049600,736.0,736.0,736.0,736.0,0
1781136000,735.0,735.0,735.0,735.0,0
1781222400,750.0,750.0,750.0,750.0,0
1781481600,757.0,757.0,757.0,757.0,0
1781568000,755.0,755.0,755.0,755.0,0
1781654400,753.0,753.0,753.0,753.0,0
1781740800,747.0,747.0,747.0,747.0,0
1781827200,750.0,750.0,750.0,750.0,0
1782086400,747.0,747.0,747.0,747.0,0
1782172800,740.0,740.0,740.0,740.0,0
1782259200,739.0,739.0,739.0,739.0,0
1782345600,738.0,738.0,738.0,738.0,0
1782432000,735.0,735.0,735.0,735.0,0
1782691200,738.0,738.0,738.0,738.0,0
