time,open,high,low,close,volume
1780444800,744.0,744.0,744.0,744.0,0
1780531200,749.0,749.0,749.0,749.0,0
1780617600,710.0,710.0,710.0,710.0,0
1780876800,724.0,724.0,724.0,724.0,0
1780963200,709.0,709.0,709.0,709.0,0
1781049600,709.0,709.0,709.0,709.0,0
1781136000,701.0,701.0,701.0,701.0,0
1781222400,725.0,725.0,725.0,725.0,0
1781481600,744.0,744.0,744.0,744.0,0
1781568000,723.0,723.0,723.0,723.0,0
1781654400,740.0,740.0,740.0,740.0,0
1781740800,739.0,739.0,739.0,739.0,0
1781827200,745.0,745.0,745.0,745.0,0
1782086400,748.0,748.0,748.0,748.0,0
1782172800,722.0,722.0,722.0,722.0,0
1782259200,723.0,723.0,723.0,723.0,0
1782345600,718.0,718.0,718.0,718.0,0
1782432000,717.0,717.0,717.0,717.0,0
1782691200,715.0,715.0,715.0,715.0,0
1782777600,732.0,732.0,732.0,732.0,0
1782864000,730.0,730.0,730.0,730.0,0
1782950400,720.0,720.0,720.0,720.0,0
1783036800,727.0,727.0,727.0,727.0,0
1783296000,726.0,726.0,726.0,726.0,0
1783382400,711.0,711.0,711.0,711.0,0
1783468800,708.0,708.0,708.0,708.0,0
1783555200,720.0,720.0,720.0,720.0,0
1783641600,724.0,724.0,724.0,724.0,0
1783900800,724.0,724.0,724.0,724.0,0
1783987200,719.0,719.0,719.0,719.0,0
1784073600,725.0,725.0,725.0,725.0,0
1784160000,725.0,725.0,725.0,725.0,0
1784246400,625.0,625.0,625.0,625.0,0
1784505600,703.0,703.0,703.0,703.0,0
1784592000,708.0,708.0,708.0,708.0,0
1784678400,712.0,712.0,712.0,712.0,0
1784764800,698.0,698.0,698.0,698.0,0
1784851200,691.0,691.0,691.0,691.0,0
1785110400,686.0,686.0,686.0,686.0,0
