time,open,high,low,close,volume
1780444800,754.0,754.0,754.0,754.0,0
1780531200,755.0,755.0,755.0,755.0,0
1780617600,747.0,747.0,747.0,747.0,0
1780876800,742.0,742.0,742.0,742.0,0
1780963200,730.0,730.0,730.0,730.0,0
1781049600,727.0,727.0,727.0,727.0,0
1781136000,725.0,725.0,725.0,725.0,0
1781222400,740.0,740.0,740.0,740.0,0
1781481600,720.0,720.0,720.0,720.0,0
1781568000,750.0,750.0,750.0,750.0,0
1781654400,750.0,750.0,750.0,750.0,0
1781740800,745.0,745.0,745.0,745.0,0
1781827200,747.0,747.0,747.0,747.0,0
1782086400,745.0,745.0,745.0,745.0,0
1782172800,735.0,735.0,735.0,735.0,0
1782259200,735.0,735.0,735.0,735.0,0
1782345600,730.0,730.0,730.0,730.0,0
1782432000,730.0,730.0,730.0,730.0,0
1782691200,731.0,731.0,731.0,731.0,0
1782777600,740.0,740.0,740.0,740.0,0
1782864000,747.0,747.0,747.0,747.0,0
1782950400,745.0,745.0,745.0,745.0,0
1783036800,742.0,742.0,742.0,742.0,0
1783296000,749.0,749.0,749.0,749.0,0
1783382400,745.0,745.0,745.0,745.0,0
1783468800,740.0,740.0,740.0,740.0,0
1783555200,748.0,748.0,748.0,748.0,0
1783641600,750.0,750.0,750.0,750.0,0
1783900800,752.0,752.0,752.0,752.0,0
1783987200,749.0,749.0,749.0,749.0,0
1784073600,752.0,752.0,752.0,752.0,0
1784160000,752.0,752.0,752.0,752.0,0
1784246400,750.0,750.0,750.0,750.0,0
1784505600,745.0,745.0,745.0,745.0,0
1784592000,743.0,743.0,743.0,743.0,0
1784678400,745.0,745.0,745.0,745.0,0
1784764800,740.0,740.0,740.0,740.0,0
1784851200,735.0,735.0,735.0,735.0,0
1785110400,736.0,736.0,736.0,736.0,0
1785196800,737.0,737.0,737.0,737.0,0
1785283200,735.0,735.0,735.0,735.0,0
1785369600,733.0,733.0,733.0,733.0,0
1785456000,743.0,743.0,743.0,743.0,0
1785715200,735.0,735.0,735.0,735.0,0
1785801600,758.0,758.0,758.0,758.0,0
1785888000,770.0,770.0,770.0,770.0,0
1785974400,765.0,765.0,765.0,765.0,0
1786060800,768.0,768.0,768.0,768.0,0
1786320000,772.0,772.0,772.0,772.0,0
