time,open,high,low,close,volume
1780444800,408.0,408.0,408.0,408.0,0
1780531200,412.0,412.0,412.0,412.0,0
1780617600,398.0,398.0,398.0,398.0,0
1780876800,398.0,398.0,398.0,398.0,0
1780963200,392.0,392.0,392.0,392.0,0
1781049600,378.0,378.0,378.0,378.0,0
1781136000,374.0,374.0,374.0,374.0,0
1781222400,386.0,386.0,386.0,386.0,0
1781481600,396.0,396.0,396.0,396.0,0
1781568000,398.0,398.0,398.0,398.0,0
1781654400,400.0,400.0,400.0,400.0,0
1781740800,388.0,388.0,388.0,388.0,0
1781827200,388.0,388.0,388.0,388.0,0
1782086400,384.0,384.0,384.0,384.0,0
1782172800,380.0,380.0,380.0,380.0,0
1782259200,368.0,368.0,368.0,368.0,0
1782345600,370.0,370.0,370.0,370.0,0
1782432000,374.0,374.0,374.0,374.0,0
1782691200,368.0,368.0,368.0,368.0,0
1782777600,370.0,370.0,370.0,370.0,0
