time,open,high,low,close,volume
1780444800,742.0,742.0,742.0,742.0,0
1780531200,740.0,740.0,740.0,740.0,0
1780617600,722.0,722.0,722.0,722.0,0
1780876800,716.0,716.0,716.0,716.0,0
1780963200,704.0,704.0,704.0,704.0,0
1781049600,695.0,695.0,695.0,695.0,0
1781136000,704.0,704.0,704.0,704.0,0
1781222400,710.0,710.0,710.0,710.0,0
1781481600,675.0,675.0,675.0,675.0,0
1781568000,731.0,731.0,731.0,731.0,0
1781654400,731.0,731.0,731.0,731.0,0
1781740800,734.0,734.0,734.0,734.0,0
1781827200,728.0,728.0,728.0,728.0,0
1782086400,738.0,738.0,738.0,738.0,0
1782172800,717.0,717.0,717.0,717.0,0
1782259200,710.0,710.0,710.0,710.0,0
1782345600,714.0,714.0,714.0,714.0,0
1782432000,710.0,710.0,710.0,710.0,0
1782691200,727.0,727.0,727.0,727.0,0
1782777600,723.0,723.0,723.0,723.0,0
1782864000,728.0,728.0,728.0,728.0,0
1782950400,715.0,715.0,715.0,715.0,0
1783036800,700.0,700.0,700.0,700.0,0
