time,open,high,low,close,volume
1780444800,408.0,408.0,408.0,408.0,0
1780531200,412.0,412.0,412.0,412.0,0
1780617600,398.0,398.0,398.0,398.0,0
1780876800,400.0,400.0,400.0,400.0,0
1780963200,396.0,396.0,396.0,396.0,0
1781049600,380.0,380.0,380.0,380.0,0
1781136000,376.0,376.0,376.0,376.0,0
1781222400,384.0,384.0,384.0,384.0,0
1781481600,398.0,398.0,398.0,398.0,0
1781568000,400.0,400.0,400.0,400.0,0
1781654400,400.0,400.0,400.0,400.0,0
1781740800,388.0,388.0,388.0,388.0,0
1781827200,390.0,390.0,390.0,390.0,0
1782086400,386.0,386.0,386.0,386.0,0
1782172800,380.0,380.0,380.0,380.0,0
1782259200,376.0,376.0,376.0,376.0,0
1782345600,368.0,368.0,368.0,368.0,0
1782432000,376.0,376.0,376.0,376.0,0
1782691200,368.0,368.0,368.0,368.0,0
1782777600,368.0,368.0,368.0,368.0,0
1782864000,376.0,376.0,376.0,376.0,0
1782950400,380.0,380.0,380.0,380.0,0
1783036800,370.0,370.0,370.0,370.0,0
1783296000,380.0,380.0,380.0,380.0,0
1783382400,384.0,384.0,384.0,384.0,0
1783468800,370.0,370.0,370.0,370.0,0
1783555200,380.0,380.0,380.0,380.0,0
1783641600,376.0,376.0,376.0,376.0,0
1783900800,300.0,300.0,300.0,300.0,0
1783987200,372.0,372.0,372.0,372.0,0
