time,open,high,low,close,volume
1780444800,416.0,416.0,416.0,416.0,0
1780531200,415.0,415.0,415.0,415.0,0
1780617600,401.0,401.0,401.0,401.0,0
1780876800,401.0,401.0,401.0,401.0,0
1780963200,397.0,397.0,397.0,397.0,0
1781049600,412.0,412.0,412.0,412.0,0
1781136000,385.0,385.0,385.0,385.0,0
1781222400,388.0,388.0,388.0,388.0,0
1781481600,392.0,392.0,392.0,392.0,0
1781568000,398.0,398.0,398.0,398.0,0
1781654400,398.0,398.0,398.0,398.0,0
1781740800,387.0,387.0,387.0,387.0,0
1781827200,370.0,370.0,370.0,370.0,0
1782086400,422.0,422.0,422.0,422.0,0
1782172800,409.0,409.0,409.0,409.0,0
1782259200,405.0,405.0,405.0,405.0,0
1782345600,373.0,373.0,373.0,373.0,0
1782432000,378.0,378.0,378.0,378.0,0
1782691200,365.0,365.0,365.0,365.0,0
1782777600,375.0,375.0,375.0,375.0,0
1782864000,375.0,375.0,375.0,375.0,0
1782950400,379.0,379.0,379.0,379.0,0
1783036800,377.0,377.0,377.0,377.0,0
1783296000,382.0,382.0,382.0,382.0,0
1783382400,381.0,381.0,381.0,381.0,0
1783468800,373.0,373.0,373.0,373.0,0
1783555200,375.0,375.0,375.0,375.0,0
1783641600,379.0,379.0,379.0,379.0,0
1783900800,383.0,383.0,383.0,383.0,0
1783987200,378.0,378.0,378.0,378.0,0
1784073600,371.0,371.0,371.0,371.0,0
1784160000,387.0,387.0,387.0,387.0,0
1784246400,371.0,371.0,371.0,371.0,0
1784505600,367.0,367.0,367.0,367.0,0
1784592000,374.0,374.0,374.0,374.0,0
1784678400,378.0,378.0,378.0,378.0,0
1784764800,378.0,378.0,378.0,378.0,0
1784851200,376.0,376.0,376.0,376.0,0
1785110400,374.0,374.0,374.0,374.0,0
1785196800,375.0,375.0,375.0,375.0,0
1785283200,374.0,374.0,374.0,374.0,0
1785369600,375.0,375.0,375.0,375.0,0
1785456000,373.0,373.0,373.0,373.0,0
1785715200,371.0,371.0,371.0,371.0,0
1785801600,376.0,376.0,376.0,376.0,0
1785888000,391.0,391.0,391.0,391.0,0
1785974400,390.0,390.0,390.0,390.0,0
1786060800,395.0,395.0,395.0,395.0,0
1786320000,399.0,399.0,399.0,399.0,0
1786406400,400.0,400.0,400.0,400.0,0
1786492800,405.0,405.0,405.0,405.0,0
1786579200,404.0,404.0,404.0,404.0,0
1786665600,400.0,400.0,400.0,400.0,0
1786924800,407.0,407.0,407.0,407.0,0
1787011200,415.0,415.0,415.0,415.0,0
1787097600,411.0,411.0,411.0,411.0,0
1787184000,417.0,417.0,417.0,417.0,0
1787270400,425.0,425.0,425.0,425.0,0
1787529600,433.0,433.0,433.0,433.0,0
