time,open,high,low,close,volume
1780444800,756.0,756.0,756.0,756.0,0
1780531200,756.0,756.0,756.0,756.0,0
1780617600,747.0,747.0,747.0,747.0,0
1780876800,742.0,742.0,742.0,742.0,0
1780963200,732.0,732.0,732.0,732.0,0
1781049600,731.0,731.0,731.0,731.0,0
1781136000,729.0,729.0,729.0,729.0,0
1781222400,740.0,740.0,740.0,740.0,0
1781481600,756.0,756.0,756.0,756.0,0
1781568000,752.0,752.0,752.0,752.0,0
1781654400,750.0,750.0,750.0,750.0,0
1781740800,747.0,747.0,747.0,747.0,0
1781827200,747.0,747.0,747.0,747.0,0
1782086400,745.0,745.0,745.0,745.0,0
1782172800,735.0,735.0,735.0,735.0,0
1782259200,739.0,739.0,739.0,739.0,0
1782345600,735.0,735.0,735.0,735.0,0
1782432000,733.0,733.0,733.0,733.0,0
1782691200,738.0,738.0,738.0,738.0,0
1782777600,745.0,745.0,745.0,745.0,0
1782864000,749.0,749.0,749.0,749.0,0
1782950400,747.0,747.0,747.0,747.0,0
1783036800,745.0,745.0,745.0,745.0,0
1783296000,751.0,751.0,751.0,751.0,0
1783382400,746.0,746.0,746.0,746.0,0
