time,open,high,low,close,volume
1780444800,422.0,422.0,422.0,422.0,0
1780531200,411.0,411.0,411.0,411.0,0
1780617600,400.0,400.0,400.0,400.0,0
1780876800,399.0,399.0,399.0,399.0,0
1780963200,398.0,398.0,398.0,398.0,0
1781049600,408.0,408.0,408.0,408.0,0
1781136000,380.0,380.0,380.0,380.0,0
1781222400,389.0,389.0,389.0,389.0,0
1781481600,398.0,398.0,398.0,398.0,0
1781568000,400.0,400.0,400.0,400.0,0
1781654400,400.0,400.0,400.0,400.0,0
1781740800,380.0,380.0,380.0,380.0,0
1781827200,399.0,399.0,399.0,399.0,0
1782086400,420.0,420.0,420.0,420.0,0
1782172800,397.0,397.0,397.0,397.0,0
1782259200,410.0,410.0,410.0,410.0,0
1782345600,374.0,374.0,374.0,374.0,0
1782432000,376.0,376.0,376.0,376.0,0
1782691200,370.0,370.0,370.0,370.0,0
1782777600,370.0,370.0,370.0,370.0,0
1782864000,377.0,377.0,377.0,377.0,0
1782950400,380.0,380.0,380.0,380.0,0
1783036800,380.0,380.0,380.0,380.0,0
1783296000,380.0,380.0,380.0,380.0,0
1783382400,385.0,385.0,385.0,385.0,0
1783468800,375.0,375.0,375.0,375.0,0
1783555200,380.0,380.0,380.0,380.0,0
1783641600,377.0,377.0,377.0,377.0,0
1783900800,366.0,366.0,366.0,366.0,0
1783987200,372.0,372.0,372.0,372.0,0
1784073600,372.0,372.0,372.0,372.0,0
1784160000,371.0,371.0,371.0,371.0,0
1784246400,368.0,368.0,368.0,368.0,0
1784505600,368.0,368.0,368.0,368.0,0
1784592000,375.0,375.0,375.0,375.0,0
1784678400,382.0,382.0,382.0,382.0,0
1784764800,373.0,373.0,373.0,373.0,0
1784851200,375.0,375.0,375.0,375.0,0
1785110400,375.0,375.0,375.0,375.0,0
1785196800,374.0,374.0,374.0,374.0,0
1785283200,375.0,375.0,375.0,375.0,0
1785369600,376.0,376.0,376.0,376.0,0
1785456000,369.0,369.0,369.0,369.0,0
1785715200,373.0,373.0,373.0,373.0,0
1785801600,375.0,375.0,375.0,375.0,0
