time,open,high,low,close,volume
1780444800,767.0,767.0,767.0,767.0,0
1780531200,755.0,755.0,755.0,755.0,0
1780617600,748.0,748.0,748.0,748.0,0
1780876800,744.0,744.0,744.0,744.0,0
1780963200,733.0,733.0,733.0,733.0,0
1781049600,766.0,766.0,766.0,766.0,0
1781136000,731.0,731.0,731.0,731.0,0
1781222400,741.0,741.0,741.0,741.0,0
1781481600,721.0,721.0,721.0,721.0,0
1781568000,781.0,781.0,781.0,781.0,0
1781654400,781.0,781.0,781.0,781.0,0
1781740800,774.0,774.0,774.0,774.0,0
1781827200,851.0,851.0,851.0,851.0,0
1782086400,757.0,757.0,757.0,757.0,0
1782172800,738.0,738.0,738.0,738.0,0
