time,open,high,low,close,volume
1780444800,745.0,745.0,745.0,745.0,0
1780531200,740.0,740.0,740.0,740.0,0
1780617600,721.0,721.0,721.0,721.0,0
1780876800,719.0,719.0,719.0,719.0,0
1780963200,703.0,703.0,703.0,703.0,0
1781049600,699.0,699.0,699.0,699.0,0
1781136000,702.0,702.0,702.0,702.0,0
1781222400,719.0,719.0,719.0,719.0,0
1781481600,744.0,744.0,744.0,744.0,0
1781568000,734.0,734.0,734.0,734.0,0
1781654400,733.0,733.0,733.0,733.0,0
1781740800,739.0,739.0,739.0,739.0,0
1781827200,741.0,741.0,741.0,741.0,0
1782086400,737.0,737.0,737.0,737.0,0
1782172800,716.0,716.0,716.0,716.0,0
1782259200,716.0,716.0,716.0,716.0,0
1782345600,714.0,714.0,714.0,714.0,0
1782432000,710.0,710.0,710.0,710.0,0
1782691200,719.0,719.0,719.0,719.0,0
1782777600,732.0,732.0,732.0,732.0,0
1782864000,731.0,731.0,731.0,731.0,0
1782950400,718.0,718.0,718.0,718.0,0
1783036800,713.0,713.0,713.0,713.0,0
1783296000,726.0,726.0,726.0,726.0,0
1783382400,707.0,707.0,707.0,707.0,0
1783468800,705.0,705.0,705.0,705.0,0
1783555200,722.0,722.0,722.0,722.0,0
1783641600,724.0,724.0,724.0,724.0,0
1783900800,717.0,717.0,717.0,717.0,0
1783987200,719.0,719.0,719.0,719.0,0
1784073600,716.0,716.0,716.0,716.0,0
1784160000,711.0,711.0,711.0,711.0,0
1784246400,697.0,697.0,697.0,697.0,0
1784505600,699.0,699.0,699.0,699.0,0
1784592000,707.0,707.0,707.0,707.0,0
1784678400,707.0,707.0,707.0,707.0,0
1784764800,692.0,692.0,692.0,692.0,0
1784851200,684.0,684.0,684.0,684.0,0
1785110400,678.0,678.0,678.0,678.0,0
1785196800,674.0,674.0,674.0,674.0,0
1785283200,669.0,669.0,669.0,669.0,0
1785369600,679.0,679.0,679.0,679.0,0
1785456000,684.0,684.0,684.0,684.0,0
1785715200,697.0,697.0,697.0,697.0,0
1785801600,718.0,718.0,718.0,718.0,0
1785888000,723.0,723.0,723.0,723.0,0
1785974400,718.0,718.0,718.0,718.0,0
1786060800,718.0,718.0,718.0,718.0,0
1786320000,724.0,724.0,724.0,724.0,0
1786406400,722.0,722.0,722.0,722.0,0
1786492800,725.0,725.0,725.0,725.0,0
1786579200,732.0,732.0,732.0,732.0,0
1786665600,734.0,734.0,734.0,734.0,0
1786924800,733.0,733.0,733.0,733.0,0
1787011200,719.0,719.0,719.0,719.0,0
1787097600,720.0,720.0,720.0,720.0,0
1787184000,715.0,715.0,715.0,715.0,0
1787270400,712.0,712.0,712.0,712.0,0
1787529600,706.0,706.0,706.0,706.0,0
1787616000,711.0,711.0,711.0,711.0,0
1787702400,711.0,711.0,711.0,711.0,0
1787788800,721.0,721.0,721.0,721.0,0
1787875200,716.0,716.0,716.0,716.0,0
1788134400,715.0,715.0,715.0,715.0,0
